home,away,comp,stage,match_date,gd,xgd,attendance %,rest_advantage,home_team_dist_traveled,away_team_dist_traveled,distance_from_opp_home
Wolves,Everton,Premier League,Matchweek 20,12/30/2023,3,1.5,0.9871762870514821,0,108.77048838167428,68.15957137480737,68.15957137480737
Nott'ham Forest,Manchester Utd,Premier League,Matchweek 20,12/30/2023,1,-0.1,0.9649369322266519,0,142.04126417458008,60.0445540663803,60.0445540663803
Crystal Palace,Brentford,Premier League,Matchweek 20,12/30/2023,2,-0.4,0.970177109122072,0,7.336218240493724,11.221723415568588,11.221723415568588
Luton Town,Chelsea,Premier League,Matchweek 20,12/30/2023,-1,0.8,0.9200833333333334,1,111.54483901345607,29.65824840159611,29.65824840159611
Tottenham,Bournemouth,Premier League,Matchweek 20,12/31/2023,2,0.6,0.9954561567464794,-2,51.31601154621342,97.46069304735249,97.46069304735249
Fulham,Arsenal,Premier League,Matchweek 20,12/31/2023,1,-0.4,0.9511284046692607,2,86.78071188693295,7.361002471038941,7.361002471038941
Liverpool,Newcastle Utd,Premier League,Matchweek 20,1/1/2024,2,6.4,0.9421475409836065,0,0.0,119.66347734844807,119.66347734844807
West Ham,Brighton,Premier League,Matchweek 20,1/2/2024,0,-1.6,0.999392,0,4.121217159991134,46.85169388747987,46.85169388747987
Burnley,Luton Town,Premier League,Matchweek 21,1/12/2024,0,0.2,0.8939501463674266,2,0.0,151.50932145411392,151.50932145411392
Newcastle Utd,Manchester City,Premier League,Matchweek 21,1/13/2024,-1,-1.7,0.9978013574228085,1,0.0,105.7366886793771,105.7366886793771
Chelsea,Fulham,Premier League,Matchweek 21,1/13/2024,1,1.4,0.9466985074626866,1,218.15972903310927,178.12109729259961,1.3932317011508308
Manchester Utd,Tottenham,Premier League,Matchweek 21,1/14/2024,0,-0.4,0.9703952146412962,-3,0.0,158.84351023608815,158.84351023608815
Everton,Aston Villa,Premier League,Matchweek 21,1/14/2024,0,-0.1,0.9782603282117688,2,0.0,78.43260225710794,78.43260225710794
Arsenal,Crystal Palace,Premier League,Matchweek 21,1/20/2024,5,3,0.9930811808118081,10,0.0,177.15561771054132,10.870116866912975
Brentford,Nott'ham Forest,Premier League,Matchweek 21,1/20/2024,1,0,0.9899710144927536,1,108.77048838167428,197.11115530915808,106.28919271458624
Sheffield Utd,West Ham,Premier League,Matchweek 21,1/21/2024,0,0.2,0.891810898415999,10,0.0,141.89421697728537,140.5881439746225
Bournemouth,Liverpool,Premier League,Matchweek 21,1/21/2024,-4,-0.1,0.9356666666666666,4,0.0,192.24191776581247,192.24191776581247
Brighton,Wolves,Premier League,Matchweek 21,1/22/2024,0,-0.1,1.277076923076923,10,0.0,148.10104528632243,148.10104528632243
Aston Villa,Newcastle Utd,Premier League,Matchweek 22,1/30/2024,-2,-1.2,0.9894699812382739,1,101.14587609597447,100.55472658396246,170.7512515889244
Nott'ham Forest,Arsenal,Premier League,Matchweek 22,1/30/2024,-1,-0.7,0.9602967126331612,-6,121.28437074910515,105.04331138761516,105.04331138761516
Crystal Palace,Sheffield Utd,Premier League,Matchweek 22,1/30/2024,1,0.3,0.9438583127023424,7,0.0,148.23899081564753,148.23899081564753
Fulham,Everton,Premier League,Matchweek 22,1/30/2024,0,-0.3,0.9484824902723735,0,0.0,178.20612635238703,178.20612635238703
Luton Town,Brighton,Premier League,Matchweek 22,1/30/2024,4,2.2,0.9161666666666667,0,151.05426850533235,111.54483901345607,72.21833381189889
Tottenham,Brentford,Premier League,Matchweek 22,1/31/2024,1,1.3,0.9862717927234056,-6,0.0,12.945839001702591,12.945839001702591
Liverpool,Chelsea,Premier League,Matchweek 22,1/31/2024,3,2.3,0.943016393442623,-2,0.0,178.12109729259961,178.12109729259961
Manchester City,Burnley,Premier League,Matchweek 22,1/31/2024,2,0.3,0.9477616009597034,-14,157.74431706248097,21.178939146197887,21.178939146197887
West Ham,Bournemouth,Premier League,Matchweek 22,2/1/2024,0,0.2,0.999648,4,0.0,96.5356303007143,96.5356303007143
Wolves,Manchester Utd,Premier League,Matchweek 22,2/1/2024,-1,-1.2,0.9872386895475819,0,8.959799378728913,78.2151971077695,60.67426842287674
Newcastle Utd,Luton Town,Premier League,Matchweek 23,2/3/2024,0,-0.1,0.9982028486760348,0,170.7512515889244,219.13376252807404,219.13376252807404
Everton,Tottenham,Premier League,Matchweek 23,2/3/2024,0,1.6,0.9791817117812586,1,178.20612635238703,175.84058523170475,175.84058523170475
Brighton,Crystal Palace,Premier League,Matchweek 23,2/3/2024,3,1.1,0.9644615384615385,0,72.21833381189889,37.06988086063056,37.06988086063056
